11:21:40.511 [main] INFO   - tns:medicines
11:21:40.521 [main] INFO   - tns:medicine
11:21:40.522 [main] INFO   - tns:name
11:21:40.522 [main] INFO   - tns:pharm
11:21:40.522 [main] INFO   - tns:group
11:21:40.522 [main] INFO   - tns:analogs
11:21:40.523 [main] INFO   - tns:analog
11:21:40.523 [main] INFO   - tns:analog
11:21:40.523 [main] INFO   - tns:versions
11:21:40.524 [main] INFO   - tns:version
11:21:40.525 [main] INFO   - tns:certificate
11:21:40.525 [main] INFO   - tns:certificate-number
11:21:40.526 [main] INFO   - tns:certificate-issued-date-time
11:21:40.526 [main] INFO   - tns:certificate-expires-date-time
11:21:40.527 [main] INFO   - tns:certificate-registered-organization
11:21:40.527 [main] INFO   - tns:package
11:21:40.527 [main] INFO   - tns:package-type
11:21:40.528 [main] INFO   - tns:package-elements-count-in
11:21:40.528 [main] INFO   - tns:package-price
11:21:40.528 [main] INFO   - tns:dosage
11:21:40.528 [main] INFO   - tns:dosage-active-agent
11:21:40.528 [main] INFO   - tns:dosage-maximum-use-per-day
11:21:40.529 [main] INFO   - tns:medicine
11:21:40.529 [main] INFO   - tns:name
11:21:40.529 [main] INFO   - tns:pharm
11:21:40.529 [main] INFO   - tns:group
11:21:40.529 [main] INFO   - tns:analogs
11:21:40.529 [main] INFO   - tns:analog
11:21:40.529 [main] INFO   - tns:versions
11:21:40.530 [main] INFO   - tns:version
11:21:40.530 [main] INFO   - tns:certificate
11:21:40.530 [main] INFO   - tns:certificate-number
11:21:40.530 [main] INFO   - tns:certificate-issued-date-time
11:21:40.530 [main] INFO   - tns:certificate-expires-date-time
11:21:40.530 [main] INFO   - tns:certificate-registered-organization
11:21:40.531 [main] INFO   - tns:package
11:21:40.531 [main] INFO   - tns:package-type
11:21:40.531 [main] INFO   - tns:package-elements-count-in
11:21:40.531 [main] INFO   - tns:package-price
11:21:40.531 [main] INFO   - tns:dosage
11:21:40.531 [main] INFO   - tns:dosage-active-agent
11:21:40.532 [main] INFO   - tns:dosage-maximum-use-per-day
11:21:40.532 [main] INFO   - tns:version
11:21:40.532 [main] INFO   - tns:certificate
11:21:40.532 [main] INFO   - tns:certificate-number
11:21:40.532 [main] INFO   - tns:certificate-issued-date-time
11:21:40.533 [main] INFO   - tns:certificate-expires-date-time
11:21:40.533 [main] INFO   - tns:certificate-registered-organization
11:21:40.533 [main] INFO   - tns:package
11:21:40.533 [main] INFO   - tns:package-type
11:21:40.534 [main] INFO   - tns:package-elements-count-in
11:21:40.535 [main] INFO   - tns:package-price
11:21:40.537 [main] INFO   - tns:dosage
11:21:40.537 [main] INFO   - tns:dosage-active-agent
11:21:40.537 [main] INFO   - tns:dosage-maximum-use-per-day
11:21:40.537 [main] INFO   - tns:medicine
11:21:40.538 [main] INFO   - tns:name
11:21:40.538 [main] INFO   - tns:pharm
11:21:40.538 [main] INFO   - tns:group
11:21:40.538 [main] INFO   - tns:analogs
11:21:40.538 [main] INFO   - tns:versions
11:21:40.538 [main] INFO   - tns:version
11:21:40.539 [main] INFO   - tns:certificate
11:21:40.539 [main] INFO   - tns:certificate-number
11:21:40.540 [main] INFO   - tns:certificate-issued-date-time
11:21:40.540 [main] INFO   - tns:certificate-expires-date-time
11:21:40.540 [main] INFO   - tns:certificate-registered-organization
11:21:40.540 [main] INFO   - tns:package
11:21:40.540 [main] INFO   - tns:package-type
11:21:40.540 [main] INFO   - tns:package-elements-count-in
11:21:40.541 [main] INFO   - tns:package-price
11:21:40.541 [main] INFO   - tns:dosage
11:21:40.541 [main] INFO   - tns:dosage-active-agent
11:21:40.541 [main] INFO   - tns:dosage-maximum-use-per-day
11:21:40.541 [main] INFO   - tns:medicine
11:21:40.541 [main] INFO   - tns:name
11:21:40.542 [main] INFO   - tns:pharm
11:21:40.542 [main] INFO   - tns:group
11:21:40.542 [main] INFO   - tns:analogs
11:21:40.542 [main] INFO   - tns:analog
11:21:40.542 [main] INFO   - tns:versions
11:21:40.542 [main] INFO   - tns:version
11:21:40.542 [main] INFO   - tns:certificate
11:21:40.543 [main] INFO   - tns:certificate-number
11:21:40.543 [main] INFO   - tns:certificate-issued-date-time
11:21:40.543 [main] INFO   - tns:certificate-expires-date-time
