11:19:24.042 [main] INFO   - tns:medicines
11:19:24.053 [main] INFO   - tns:medicine
11:19:24.053 [main] INFO   - tns:name
11:19:24.054 [main] INFO   - tns:pharm
11:19:24.054 [main] INFO   - tns:group
11:19:24.054 [main] INFO   - tns:analogs
11:19:24.054 [main] INFO   - tns:analog
11:19:24.054 [main] INFO   - tns:analog
11:19:24.055 [main] INFO   - tns:versions
11:19:24.055 [main] INFO   - tns:version
11:19:24.055 [main] INFO   - tns:certificate
11:19:24.056 [main] INFO   - tns:certificate-number
11:19:24.056 [main] INFO   - tns:certificate-issued-date-time
11:19:24.056 [main] INFO   - tns:certificate-expires-date-time
11:19:24.057 [main] INFO   - tns:certificate-registered-organization
11:19:24.057 [main] INFO   - tns:package
11:19:24.057 [main] INFO   - tns:package-type
11:19:24.058 [main] INFO   - tns:package-elements-count-in
11:19:24.058 [main] INFO   - tns:package-price
11:19:24.058 [main] INFO   - tns:dosage
11:19:24.058 [main] INFO   - tns:dosage-active-agent
11:19:24.058 [main] INFO   - tns:dosage-maximum-use-per-day
11:19:24.059 [main] INFO   - tns:medicine
11:19:24.059 [main] INFO   - tns:name
11:19:24.060 [main] INFO   - tns:pharm
11:19:24.060 [main] INFO   - tns:group
11:19:24.060 [main] INFO   - tns:analogs
11:19:24.060 [main] INFO   - tns:analog
11:19:24.061 [main] INFO   - tns:versions
11:19:24.061 [main] INFO   - tns:version
11:19:24.061 [main] INFO   - tns:certificate
11:19:24.061 [main] INFO   - tns:certificate-number
11:19:24.061 [main] INFO   - tns:certificate-issued-date-time
11:19:24.062 [main] INFO   - tns:certificate-expires-date-time
11:19:24.062 [main] INFO   - tns:certificate-registered-organization
11:19:24.062 [main] INFO   - tns:package
11:19:24.063 [main] INFO   - tns:package-type
11:19:24.063 [main] INFO   - tns:package-elements-count-in
11:19:24.063 [main] INFO   - tns:package-price
11:19:24.063 [main] INFO   - tns:dosage
11:19:24.063 [main] INFO   - tns:dosage-active-agent
11:19:24.063 [main] INFO   - tns:dosage-maximum-use-per-day
11:19:24.064 [main] INFO   - tns:version
11:19:24.064 [main] INFO   - tns:certificate
11:19:24.064 [main] INFO   - tns:certificate-number
11:19:24.064 [main] INFO   - tns:certificate-issued-date-time
11:19:24.065 [main] INFO   - tns:certificate-expires-date-time
11:19:24.065 [main] INFO   - tns:certificate-registered-organization
11:19:24.065 [main] INFO   - tns:package
11:19:24.065 [main] INFO   - tns:package-type
11:19:24.066 [main] INFO   - tns:package-elements-count-in
11:19:24.066 [main] INFO   - tns:package-price
11:19:24.066 [main] INFO   - tns:dosage
11:19:24.066 [main] INFO   - tns:dosage-active-agent
11:19:24.066 [main] INFO   - tns:dosage-maximum-use-per-day
11:19:24.067 [main] INFO   - tns:medicine
11:19:24.067 [main] INFO   - tns:name
11:19:24.067 [main] INFO   - tns:pharm
11:19:24.068 [main] INFO   - tns:group
11:19:24.068 [main] INFO   - tns:analogs
11:19:24.068 [main] INFO   - tns:versions
11:19:24.068 [main] INFO   - tns:version
11:19:24.068 [main] INFO   - tns:certificate
11:19:24.069 [main] INFO   - tns:certificate-number
11:19:24.070 [main] INFO   - tns:certificate-issued-date-time
11:19:24.070 [main] INFO   - tns:certificate-expires-date-time
11:19:24.070 [main] INFO   - tns:certificate-registered-organization
11:19:24.070 [main] INFO   - tns:package
11:19:24.071 [main] INFO   - tns:package-type
11:19:24.071 [main] INFO   - tns:package-elements-count-in
